                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                 1.0119,                0.72064,                 1.0929,                0.80946,                0.82521,                0.87962,                0.58536,                 1.1394,                0.81117,                 1.1953,              0.0003368,              0.0003368,              0.0003368
                     87,                0.97427,                0.71314,                 1.0761,                0.83618,                0.80791,                0.88435,                0.59027,                 1.1266,                0.78878,                 1.1806,               0.000317,               0.000317,               0.000317
                     88,                0.97232,                0.71579,                 1.1009,                0.84271,                0.82734,                0.89003,                0.60471,                 1.1012,                 0.7699,                 1.1619,              0.0002972,              0.0002972,              0.0002972
                     89,                 0.9533,                0.71442,                 1.0818,                0.84271,                0.82734,                0.89003,                0.60471,                 1.1012,                 0.7699,                 1.1619,              0.0002774,              0.0002774,              0.0002774
                     90,                0.93639,                0.68092,                 1.0332,                0.86334,                0.84892,                0.89792,                0.61314,                 1.0773,                0.75373,                 1.1516,              0.0002576,              0.0002576,              0.0002576
                     91,                0.99794,                0.80927,                 1.1288,                0.89288,                0.84173,                0.90626,                  0.618,                 1.0626,                0.75126,                 1.1485,              0.0002378,              0.0002378,              0.0002378
                     92,                0.99146,                0.80778,                 1.1339,                0.87419,                0.83453,                0.89932,                 0.6192,                 1.0577,                0.74607,                 1.1466,               0.000218,               0.000218,               0.000218
                     93,                0.99782,                 0.7867,                 1.1558,                0.87419,                0.83453,                0.89932,                 0.6192,                 1.0577,                0.74607,                 1.1466,              0.0001982,              0.0001982,              0.0001982
                     94,                0.94665,                0.72494,                 1.0831,                0.90119,                0.78739,                0.90229,                0.61716,                 1.0594,                0.74843,                 1.1453,              0.0001784,              0.0001784,              0.0001784
                     95,                 0.9725,                0.71355,                 1.0581,                0.90899,                0.77698,                0.90142,                 0.6122,                 1.0669,                0.76181,                 1.1476,              0.0001586,              0.0001586,              0.0001586
                     96,                0.95693,                0.71491,                 1.0578,                0.92424,                0.76259,                 0.8943,                0.61301,                 1.0584,                0.76529,                 1.1439,              0.0001388,              0.0001388,              0.0001388
                     97,                0.92174,                 0.6984,                 1.0629,                0.92424,                0.76259,                 0.8943,                0.61301,                 1.0584,                0.76529,                 1.1439,               0.000119,               0.000119,               0.000119
                     98,                0.90533,                0.68909,                 1.0894,                0.89989,                0.76978,                0.89734,                0.61815,                 1.0464,                0.75923,                 1.1381,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 0.9367,                0.70534,                 1.0502,                0.85009,                0.81592,                0.90547,                0.62633,                 1.0328,                0.75905,                  1.133,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.91378,                 0.7066,                 1.0681,                0.84775,                0.84125,                0.90536,                0.62492,                 1.0137,                0.75346,                 1.1289,               5.96e-05,               5.96e-05,               5.96e-05
